ciiu3_4c,ciiu3_letra,clae6,clae6_letra,propio,propio_letra,propio_letra_2,letra,desc
1412,C,81200,B,1412,C,C,C,Explotación de minas y canteras
1413,C,81300,B,1413,C,C,C,Explotación de minas y canteras
1414,C,81400,B,1414,C,C,C,Explotación de minas y canteras
1421,C,89110,B,1421,C,C,C,Explotación de minas y canteras
1421,C,89120,B,1421,C,C,C,Explotación de minas y canteras
1030,C,89200,B,1030,C,C,C,Explotación de minas y canteras
1422,C,89300,B,1422,C,C,C,Explotación de minas y canteras
1429,C,89900,B,1429,C,C,C,Explotación de minas y canteras
1120,C,91000,B,1120,C,C,C,Explotación de minas y canteras
7421,K,711001,M,7421,K,K_74,K_74,Servicios jurídicos contables y otros servicios a empresas (sin minería)
7421,K,711002,M,7421,K,K_74,K_74,Servicios jurídicos contables y otros servicios a empresas (sin minería)
7421,K,711003,M,7421,K,K_74,K_74,Servicios jurídicos contables y otros servicios a empresas (sin minería)
7421,K,711009,M,7421,K,K_74,K_74,Servicios jurídicos contables y otros servicios a empresas (sin minería)
1511,D,101011,C,1511,D,D_15,D_15,Alimentos
1511,D,101012,C,1511,D,D_15,D_15,Alimentos
1511,D,101013,C,1511,D,D_15,D_15,Alimentos
1511,D,101020,C,1511,D,D_15,D_15,Alimentos
1511,D,101030,C,1511,D,D_15,D_15,Alimentos
1511,D,101040,C,1511,D,D_15,D_15,Alimentos
1511,D,101091,C,1511,D,D_15,D_15,Alimentos
1511,D,101099,C,1511,D,D_15,D_15,Alimentos
1512,D,102001,C,1512,D,D_15,D_15,Alimentos
1512,D,102002,C,1512,D,D_15,D_15,Alimentos
1512,D,102003,C,1512,D,D_15,D_15,Alimentos
1513,D,103011,C,1513,D,D_15,D_15,Alimentos
1513,D,103012,C,1513,D,D_15,D_15,Alimentos
1513,D,103020,C,1513,D,D_15,D_15,Alimentos
1513,D,103030,C,1513,D,D_15,D_15,Alimentos
1513,D,103091,C,1513,D,D_15,D_15,Alimentos
1513,D,103099,C,1513,D,D_15,D_15,Alimentos
1514,D,104011,C,1514,D,D_15,D_15,Alimentos
1514,D,104012,C,1514,D,D_15,D_15,Alimentos
1514,D,104013,C,1514,D,D_15,D_15,Alimentos
1514,D,104020,C,1514,D,D_15,D_15,Alimentos
1520,D,105010,C,1520,D,D_15,D_15,Alimentos
1520,D,105020,C,1520,D,D_15,D_15,Alimentos
1520,D,105030,C,1520,D,D_15,D_15,Alimentos
1520,D,105090,C,1520,D,D_15,D_15,Alimentos
1531,D,106110,C,1531,D,D_15,D_15,Alimentos
1531,D,106120,C,1531,D,D_15,D_15,Alimentos
1531,D,106131,C,1531,D,D_15,D_15,Alimentos
1531,D,106139,C,1531,D,D_15,D_15,Alimentos
1532,D,106200,C,1532,D,D_15,D_15,Alimentos
1541,D,107110,C,1541,D,D_15,D_15,Alimentos
1541,D,107121,C,1541,D,D_15,D_15,Alimentos
1541,D,107129,C,1541,D,D_15,D_15,Alimentos
1542,D,107200,C,1542,D,D_15,D_15,Alimentos
1543,D,107301,C,1543,D,D_15,D_15,Alimentos
1543,D,107309,C,1543,D,D_15,D_15,Alimentos
