hs6_d12,A,B,C,CONS,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_29_30_31_32_33,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,E,F,G,H_551,H_552,I_60,I_61,I_62,I_63,I_64,J,K_70,K_71,K_72,K_73,K_74,K_99,L,M,N,O,P
39173300500Q,0.0,0.0,0.0,39892.35793426472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23087.232430527114,1.482554286349775e-11,0.0,3.1044640784332524e-07,0.0,9.871298831456778e-09,0.0,0.0,0.0,0.0,0.03860250433816697,1.853674130811793e-11,0.0,0.0,0.0,0.0,0.0,18107.772795645622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.554733238679052e-10,0.0,0.0,0.0,0.0,245482.6247673864,2.036380488345667e-07,0.0,0.0,0.0034691475437535002,7.0662147047919966e-12,0.0
39173300900M,404.1585417671242,0.0,19416.812599324265,317100.0531652546,832.103010561807,0.0,1.4891717809054636e-13,0.0,0.0,0.0,38798.10870018698,0.0,6.299489093465943e-17,876.699750000319,1973.6593334118697,0.0,0.5527236653200931,19932.742090176107,18659.916182630994,0.0,0.0,3.419533070815227e-07,1.2353981007644255e-10,3.5843624144712057e-09,324744.02131290967,7475.9401642493385,0.03537393289994184,2.997705377918577e-16,2.0118250581187795,37813.69523703373,349433.206170333,0.0,0.0,0.0,0.0,0.0,3.3384806344674585e-13,7546.105658226354,498.12184861207623,0.0078971215291352,2.0194662581001198e-08,82.8915962173341,4.975719557933998e-12,25882.156818744457,0.0,0.0,2.164155713561121e-07,3.084337764262632e-14,1.2749606687328471e-22,0.0
39173900910M,0.0,0.0,13372.93770089602,469277.9546977484,4.276212078783165e-08,0.0,93527.11913514337,0.0,0.0,0.0,18.04561165846459,0.0,42.34110648867793,1.996149341718571e-06,1087505.0742052048,0.0,744.7998227320667,1040.2742782978326,2637.668159212706,0.0,0.0,0.0,1.0891516012198126e-09,0.00031642306855575263,86856.0085623261,2.957369183883891e-11,67424.98082744335,0.0,17032.946881386964,102.8947943161458,217287.21865258957,0.0,1.1584735061568434e-13,6.6348839048290875e-16,0.0,0.0,0.0,0.0,0.039556528427171805,38.70569319016123,3.0041779016881174e-05,7.118692097946146e-11,0.0,92483.54996633215,0.0,0.0,0.0,0.0,2.915038307607092e-13,0.0
39173900990N,1.0933579189044146e-11,0.0001456279110606767,0.0,2164.4488234106198,0.0001456279110606767,0.0,0.0,0.0,0.0,0.0,1.7494941138991756e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9179427904532025,0.0,0.0,0.0,0.0,0.0,0.0,4.9179427904532025,0.0,0.0,19.35238083225,4.9179427904532025,0.0,0.0,0.0,0.0,0.0,0.0,12941.785456653299,0.0,0.0,1.0933579189044146e-11,0.0,1.7494941138991756e-12,0.0,0.019219476625356807,0.0,0.0,0.0,0.0,0.0,0.0
39174010100G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9652512455587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.950728825502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.4440199289393,0.0,0.0
39174090900D,3.546447599950644e-22,0.0,0.31145487790617843,4969.738631134421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.34952418835347,0.0,443.1129076311717,3.2154701289997555e-10,5.9462973687193e-10,691.2469100631935,0.0,0.0,0.0,1.3458876581283353e-14,58.164596059995645,170.9735619448075,3.8021478599237543e-19,0.008667005362216935,1.2596496138201753e-10,1.2596496138201753e-10,98.0889377749646,1271.5027661064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.620588333681166,0.31145487790617843,0.0,0.0,0.0,1.1052581539843252e-11,0.0,0.0,5.9462973687193e-10,1.0929034548783742e-11,0.0,0.0
39181000120E,0.0,0.0,0.0,88228.67239772786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038811371702835573,0.0,8.660452491102328e-07,27986.925307954072,0.0,0.0,0.001283658631887967,0.0,0.0,0.0,0.0,0.0,0.0,15491.289626298047,0.0,0.018724435649288503,0.0,0.0,0.010471340253575984,253589.78490394456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03220050797506871,15491.289626298047,0.0,0.0,7.667214943658935,0.0,0.0,0.0,0.0,110523.83785391155,0.0
39191000919H,9.577299644391347e-09,0.0,4.774844745451032e-10,138247.52073766783,9.439881325457321e-09,0.0005466328931250657,123.10190101619713,0.0,29.870715391305975,1.4711887543479885e-07,2.6177258749265785e-05,1.5923485248401912e-05,0.0,21939.3237465378,134165.22542247488,0.00792394658863295,0.0,5.86439736963924e-06,84251.4587518848,0.0,3.3628308236441314e-10,0.0,1.3367752156413703e-05,0.007747680474061407,0.0004564942009404719,0.0,0.0,3.0642296329755326e-05,0.0,3.536112435115494e-06,163476.99896732983,843.2725668082447,0.0,0.0,0.0,0.0,0.0007205806868334661,0.0,0.0,31270.775208841085,0.0,8.109390454228862e-16,0.0,2.4976859928933e-07,0.0,0.0,0.0,0.0,58863.554490785195,0.0
39191000930V,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39191000999J,1162.6151483740089,0.0,65181.25812244724,389590.45244052674,0.0772587257656849,0.00018217353962179033,16419.269923433967,0.0,14777.8621432155,0.0,19428.738235813948,228.3349085992121,3.8026090641343766e-16,87224.43845576103,190748.69437164752,70122.80728820969,332.4869107404646,0.00019626968298183762,1.3046302486373665e-08,0.002515961798690305,0.0,1277.1283795860322,7177.628525839597,67.7355903319142,1456.8645417244297,36747.58826254886,0.624533456642076,0.0,3387.103352419661,0.002290369982263058,338852.1752335715,0.0,0.0,171.2576961931252,0.0,0.0,1.8758495747292027e-09,0.0805328735115795,1.9290329478455752e-07,1984.3410728468282,2.689553131497842e-16,3.280142251471593e-06,34981.21892115297,23011.872961696405,2.2580985784887877e-19,0.0,0.0,4.125564965380043e-10,0.0,0.0
