HS,HS4,HS4Desc,HS6,HS6Desc,BEC5Code1,BEC5Code2,BEC5Category,BEC5EndUse,BEC5Processing,BEC5Specification,BEC5Durability,i3,i31Desc,standesci3,i4,i4Desc,standesci4,GTAP,GTAPcode,GTAPdesc,CPC1,CPCdesc,BEC4Code,BEC4ENDUSE,BEC4INT,BEC4CONS,BEC4CAP,AddedByUNSD,NoteByUNSD
H5,0106,"Animals; live, n.e.c. in chapter 01",010620,Reptiles; live (including snakes and turtles),1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,032,Aquaculture,D03,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010631,"Birds; live, birds of prey",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0149,Raising of other animals,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010632,"Birds; live, Psittaciformes",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0149,Raising of other animals,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010633,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0149,Raising of other animals,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0149,Raising of other animals,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010641,"Insects; live, bees",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0149,Raising of other animals,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010649,"Insects; live, other than bees",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0149,Raising of other animals,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0149,Raising of other animals,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0201,Meat of bovine animals; fresh or chilled,020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",111210,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PROCESSED,GENERIC,,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21111,Meat of bovine animals  fresh or chilled,121,INT,1,0,0,1,1To1 WITH H4
H5,0201,Meat of bovine animals; fresh or chilled,020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21111,Meat of bovine animals  fresh or chilled,122,CONS,0,1,0,1,1To1 WITH H4
H5,0201,Meat of bovine animals; fresh or chilled,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21111,Meat of bovine animals  fresh or chilled,122,CONS,0,1,0,1,1To1 WITH H4
H5,0202,Meat of bovine animals; frozen,020210,"Meat; of bovine animals, carcasses and half-carcasses, frozen",111210,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PROCESSED,GENERIC,,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21112,Meat of bovine animals  frozen,121,INT,1,0,0,1,1To1 WITH H4
H5,0202,Meat of bovine animals; frozen,020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21112,Meat of bovine animals  frozen,122,CONS,0,1,0,1,1To1 WITH H4
H5,0202,Meat of bovine animals; frozen,020230,"Meat; of bovine animals, boneless cuts, frozen",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21112,Meat of bovine animals  frozen,122,CONS,0,1,0,1,1To1 WITH H4
H5,0203,"Meat of swine; fresh, chilled or frozen",020311,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",111210,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PROCESSED,GENERIC,,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,20,omt,"Meat products nec,",21113,Meat of swine  fresh or chilled,121,INT,1,0,0,1,1To1 WITH H4
H5,0203,"Meat of swine; fresh, chilled or frozen",020312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,20,omt,"Meat products nec,",21113,Meat of swine  fresh or chilled,122,CONS,0,1,0,1,1To1 WITH H4
H5,0203,"Meat of swine; fresh, chilled or frozen",020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,20,omt,"Meat products nec,",21113,Meat of swine  fresh or chilled,122,CONS,0,1,0,1,1To1 WITH H4
H5,0203,"Meat of swine; fresh, chilled or frozen",020321,"Meat; of swine, carcasses and half-carcasses, frozen",111210,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PROCESSED,GENERIC,,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,20,omt,"Meat products nec,",21114,Meat of swine  frozen,121,INT,1,0,0,1,1To1 WITH H4
H5,0203,"Meat of swine; fresh, chilled or frozen",020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,20,omt,"Meat products nec,",21114,Meat of swine  frozen,122,CONS,0,1,0,1,1To1 WITH H4
