;letra;clae6;clae6_desc;vta_bk;vta_sec
128;G;466330;Venta al por mayor de artículos de ferretería y materiales eléctricos (Incluye la venta  de clavos, cerraduras, cable coaxil. etc);1;1
129;G;466340;Venta al por mayor de pinturas y productos conexos;0;
130;G;466350;Venta al por mayor de cristales y espejos;1;0
131;G;466360;Venta al por mayor de artículos para plomería, instalación de gas y calefacción;1;1
132;G;466370;Venta al por mayor de papeles para pared, revestimiento para pisos de goma, plástico y textiles,  y artículos similares para la decoración;1;1
133;G;466391;Venta al por mayor de artículos de loza, cerámica y porcelana de uso en construcción;1;0
134;G;466399;Venta al por mayor de artículos para la construcción n.c.p. (No incluye artículos y materiales de demolición: 466990 );1;0
135;G;466910;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos textiles;0;
136;G;466920;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos de papel y cartón;0;
137;G;466931;Venta al por mayor de artículos de plástico ;0;
138;G;466932;Venta al por mayor de abonos, fertilizantes y plaguicidas;0;
139;G;466939;Venta al por mayor de productos intermedios, desperdicios y desechos de vidrio, caucho, goma y químicos n.c.p.;0;
140;G;466940;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos metálicos (Incluye chatarra, viruta de metales diversos, etc.);0;
141;G;466990;Venta al por mayor de productos intermedios, desperdicios y desechos n.c.p.;0;
142;G;469010;Venta al por mayor de insumos agropecuarios diversos;0;
143;G;469090;Venta al por mayor de mercancías n.c.p.;0;
144;G;471110;Venta al por menor en hipermercados ;1;0
145;G;471120;Venta al por menor en supermercados;1;0
146;G;471130;Venta al por menor en minimercados (Incluye mercaditos, autoservicios y establecimientos similares que vendan carnes, verduras y demás productos alimenticios en forma conjunta);1;0
147;G;471190;Venta al por menor en kioscos, polirrubros y comercios no especializados n.c.p.;0;
148;G;471900;Venta al por menor en comercios no especializados, sin predominio de productos alimenticios y bebidas;0;
149;G;472111;Venta al por menor de productos lácteos;0;
150;G;472112;Venta al por menor de fiambres y embutidos;0;
151;G;472120;Venta al por menor de productos de almacén y dietética;0;
152;G;472130;Venta al por menor de carnes rojas, menudencias y chacinados frescos;0;
153;G;472140;Venta al por menor de huevos, carne de aves y  productos de granja y de la caza;0;
154;G;472150;Venta al por menor de pescados y  productos de la pesca;0;
155;G;472160;Venta al por menor de frutas, legumbres y hortalizas frescas;0;
156;G;472171;Venta al por menor de pan y productos de panadería   ;0;
157;G;472172;Venta al por menor de bombones, golosinas y demás productos de confitería;0;
158;G;472190;Venta al por menor de productos alimenticios n.c.p., en comercios especializados;0;
159;G;472200;Venta al por menor de bebidas en comercios especializados;0;
160;G;472300;Venta al por menor de tabaco en comercios especializados;0;
161;G;473000;Venta al por menor de combustible para vehículos automotores y motocicletas (Incluye la venta al por menor de productos lubricantes y refrigerantes);0;
162;G;474010;Venta al por menor de equipos, periféricos,  accesorios y programas informáticos;1;0
163;G;474020;Venta al por menor de aparatos de telefonía y comunicación (Incluye teléfonos, celulares, fax, etc);1;0
164;G;475110;Venta al por menor de hilados, tejidos y artículos de mercería (Incluye mercerías, sederías, comercios de venta de lanas y otros hilados, etc.) ;0;
165;G;475120;Venta al por menor de confecciones para el hogar (Incluye la venta al por menor de sábanas, toallas, mantelería, cortinas confeccionadas, colchas, cubrecamas, etc.);0;
166;G;475190;Venta al por menor de artículos textiles n.c.p. excepto prendas de vestir (Incluye la venta al por menor de tapices, alfombras,  etc.);0;
167;G;475210;Venta al por menor de aberturas (Incluye puertas, ventanas, cortinas de enrollar de PVC, madera, aluminio, puertas corredizas, frentes de placards, etc.);1;0
168;G;475220;Venta al por menor de maderas y artículos de madera  y corcho, excepto muebles;0;
169;G;475230;Venta al por menor de artículos de ferretería y materiales eléctricos;1;0
170;G;475240;Venta al por menor de pinturas y productos conexos;0;
171;G;475250;Venta al por menor de artículos para plomería e instalación de gas;1;0
172;G;475260;Venta al por menor de cristales, espejos, mamparas y cerramientos;1;0
173;G;475270;Venta al por menor de papeles para pared, revestimientos para pisos y artículos similares para la decoración;1;0
174;G;475290;Venta al por menor de materiales de construcción n.c.p.;1;0
175;G;475300;Venta al por menor  de electrodomésticos, artefactos para el hogar y equipos de audio y video;1;0
176;G;475410;Venta al por menor de muebles para el hogar, artículos de mimbre y corcho;1;0
177;G;475420;Venta al por menor de colchones y somieres;1;0
178;G;475430;Venta al por menor de artículos de iluminación ;1;0
179;G;475440;Venta al por menor de artículos de bazar y menaje (Incluye venta al por menor de vajilla, cubiertos, etc.);1;0
180;G;475490;Venta al por menor de artículos para el hogar n.c.p. (Incluye perchas, marcos, cuadros, etc.);1;0
181;G;476110;Venta al por menor de libros;0;
182;G;476120;Venta al por menor de diarios y revistas;0;
183;G;476130;Venta al por menor de papel, cartón, materiales de embalaje y artículos de librería ;0;
184;G;476200;Venta al por menor de CD's y DVD's de audio y video grabados (Incluye CD's y DVD's vírgenes);1;0
185;G;476310;Venta al por menor de equipos  y artículos deportivos (Incluye la venta y reparación  de bicicletas, la venta  de aparatos de gimnasia y de equipos de camping, etc.)  ;1;0
186;G;476320;Venta al por menor de armas, artículos para la caza y pesca;1;0
187;G;476400;Venta al por menor de juguetes, artículos de cotillón y juegos de mesa;1;0
188;G;477110;Venta al por menor de ropa interior, medias, prendas para dormir y para la playa (Incluye corsetería, lencería, camisetas, medias excepto ortopédicas, pijamas, camisones y saltos de cama, salidas de baño, trajes de baño, etc.);0;
189;G;477120;Venta al por menor de uniformes escolares y guardapolvos;0;
190;G;477130;Venta al por menor de indumentaria para bebés y niños;0;
191;G;477140;Venta al por menor de indumentaria deportiva;0;
192;G;477150;Venta al por menor de prendas de cuero ;0;
193;G;477190;Venta al por menor de prendas y accesorios de vestir n.c.p. ;0;
194;G;477210;Venta al por menor de artículos de talabartería y artículos regionales (Incluye venta de artículos regionales de cuero, plata, alpaca y similares);0;
195;G;477220;Venta al por menor de calzado, excepto el ortopédico y el deportivo (No incluye almacenes de suelas 464142);0;
196;G;477230;Venta al por menor de calzado deportivo;0;
197;G;477290;Venta al por menor de artículos de marroquinería, paraguas y similares n.c.p.;0;
198;G;477310;Venta al por menor de productos farmacéuticos y de herboristería;0;
199;G;477320;Venta al por menor de productos cosméticos, de tocador y de perfumería;0;
200;G;477330;Venta al por menor de instrumental médico y odontológico y artículos ortopédicos (Incluye venta de vaporizadores, nebulizadores, masajeadores, termómetros, prótesis, muletas, plantillas, calzado ortopédico y otros artículos similares de uso personal o doméstico);1;0
201;G;477410;Venta al por menor de artículos de óptica y fotografía;1;0
202;G;477420;Venta al por menor de artículos de relojería y joyería;0;
203;G;477430;Venta al por menor de bijouterie y fantasía;0;
204;G;477440;Venta al por menor de flores, plantas, semillas, abonos, fertilizantes y otros productos de vivero ;0;
205;G;477450;Venta al por menor de materiales y productos de limpieza;0;
206;G;477460;Venta al por menor de fuel oil, gas en garrafas, carbón y leña (No incluye las estaciones de servicios que se clasifican en 473000);0;
207;G;477470;Venta al por menor de productos veterinarios, animales domésticos y alimento balanceado para mascotas;0;
208;G;477480;Venta al por menor de obras de arte;1;0
209;G;477490;Venta al por menor de artículos nuevos n.c.p. (Incluye la venta realizada en casas de regalos, de artesanías, pelucas,  de artículos religiosos -santerías-, recarga de matafuegos,  etc.) ;0;
210;G;477810;Venta al por menor de muebles usados;1;0
211;G;477820;Venta al por menor de libros, revistas y similares usados;0;
212;G;477830;Venta al por menor de antigüedades (Incluye venta de antigüedades en remates);1;0
213;G;477840;Venta al por menor de oro, monedas, sellos y similares (Incluye la  venta de monedas de colección, estampillas, etc.) ;1;0
214;G;477890;Venta al por menor de artículos usados n.c.p. excepto+E1155 automotores y motocicletas ;0;
215;G;478010;Venta al por menor de alimentos, bebidas y tabaco en puestos móviles y mercados;0;
216;G;478090;Venta al por menor de productos n.c.p. en puestos móviles y mercados;0;
217;G;479101;Venta al por menor por internet ;1;0
218;G;479109;Venta al por menor por correo, televisión y otros medios de comunicación n.c.p.;1;0
219;G;479900;Venta al por menor no realizada en establecimientos  n.c.p. (Incluye venta mediante máquinas expendedoras, vendedores ambulantes y vendedores a domicilio);0;
220;G;462110;Acopio de algodón;0;
221;G;999999;G_mayorista;1;0
