propio_letra_2,anio,coeficiente
G,2017,0.0155729418583245
H_551,2013,0.0123805374150221
H_551,2014,0.0135403858234293
H_551,2015,0.0134711634841557
H_551,2016,0.0129510297522082
H_551,2017,0.0130613624991236
H_552,2013,0.00901105727892175
H_552,2014,0.00975512873312767
H_552,2015,0.00993230008363899
H_552,2016,0.00978100787297611
H_552,2017,0.00970503925485047
I_60,2013,0.012979070807357
I_60,2014,0.0146353107703559
I_60,2015,0.0148690208964763
I_60,2016,0.0146869147833737
I_60,2017,0.0146786800808753
I_61,2013,0.00520282888430071
I_61,2014,0.00565607459574786
I_61,2015,0.0058589225768161
I_61,2016,0.00656287990091976
I_61,2017,0.00653780168294226
I_62,2013,0.00539524041795728
I_62,2014,0.00552214815164485
I_62,2015,0.00574000379643711
I_62,2016,0.00558598555846261
I_62,2017,0.0056192135256537
I_63,2013,0.00796513334265054
I_63,2014,0.00827484051818249
I_63,2015,0.00843583785127304
I_63,2016,0.00827182352982206
I_63,2017,0.00842484825627817
I_64,2013,0.00985158675801499
I_64,2014,0.0097154768736865
I_64,2015,0.010253393371946
I_64,2016,0.00960357575526644
I_64,2017,0.0100280464985514
J,2013,0.00851849282318666
J,2014,0.00868830113597714
J,2015,0.00866394800151672
J,2016,0.00853300453875388
J,2017,0.00848681473861084
K_70,2013,0.00749508769692356
K_70,2014,0.00641479935846943
K_70,2015,0.00626652183532859
K_70,2016,0.00616187543091851
K_70,2017,0.00614362746685937
K_71,2013,0.0151887121191026
K_71,2014,0.0142335786692488
K_71,2015,0.01418452294515
K_71,2016,0.0132534640188564
K_71,2017,0.0139626025181082
K_72,2013,0.00538889029180433
K_72,2014,0.0054212826803344
K_72,2015,0.0052873600017125
K_72,2016,0.00516724232749109
K_72,2017,0.00522965594369109
K_73,2013,0.00982673075218516
K_73,2014,0.00859506445111348
K_73,2015,0.0107565719622332
K_73,2016,0.0116249586747043
K_73,2017,0.0114051387420627
K_74,2013,0.00977305530078005
K_74,2014,0.00911046506690834
K_74,2015,0.00914618605211895
K_74,2016,0.00890181244970361
K_74,2017,0.00875966895203143
K_99,2013,0.0426859639770857
K_99,2014,0.0581049208060392
K_99,2015,0.0472140773643356
K_99,2016,0.0606487835791696
K_99,2017,0.0582876503810937
L,2013,0.0170485444548682
L,2014,0.0188773703494791
L,2015,0.0202552900922783
L,2016,0.0200384363320626
L,2017,0.0198343069701966
M,2013,0.0121627427350592
M,2014,0.0149289059632713
M,2015,0.0154183732333212
M,2016,0.0153771365273873
M,2017,0.0154499890913605
N,2013,0.00984028933972868
N,2014,0.0104445916879395
N,2015,0.0105761442306693
N,2016,0.0104340798576781
N,2017,0.0104758743395154
O,2013,0.0111605437151584
O,2014,0.0116758494007665
O,2015,0.0118891166368426
O,2016,0.0118367864839215
O,2017,0.0118290955516716
P,2013,0.00836125618443073
P,2014,0.00847188980498626
P,2015,0.00939345957730643
P,2016,0.00983699948107022
P,2017,0.00991467634643872
Q,2013,0.0048950946078011
Q,2014,0.00476725442303731
Q,2015,0.00493539572959609
Q,2016,0.00470576482382305
Q,2017,0.00462781945603053
